Navigator.prototype.getBattery, promise
Navigator.prototype.sendBeacon, method
CanvasRenderingContext2D.prototype.save, method
CanvasRenderingContext2D.prototype.restore, method
CanvasRenderingContext2D.prototype.scale, method
CanvasRenderingContext2D.prototype.rotate, method
CanvasRenderingContext2D.prototype.translate, method
CanvasRenderingContext2D.prototype.transform, method
CanvasRenderingContext2D.prototype.setTransform, method
CanvasRenderingContext2D.prototype.resetTransform, method
CanvasRenderingContext2D.prototype.createLinearGradient, method
CanvasRenderingContext2D.prototype.createRadialGradient, method
CanvasRenderingContext2D.prototype.createPattern, method
CanvasRenderingContext2D.prototype.clearRect, method
CanvasRenderingContext2D.prototype.fillRect, method
CanvasRenderingContext2D.prototype.strokeRect, method
CanvasRenderingContext2D.prototype.beginPath, method
CanvasRenderingContext2D.prototype.clip, method
CanvasRenderingContext2D.prototype.createImageData, method
CanvasRenderingContext2D.prototype.drawFocusIfNeeded, method
CanvasRenderingContext2D.prototype.drawImage, method
CanvasRenderingContext2D.prototype.fill, method
CanvasRenderingContext2D.prototype.fillText, method
CanvasRenderingContext2D.prototype.getImageData, method
CanvasRenderingContext2D.prototype.isPointInPath, method
CanvasRenderingContext2D.prototype.isPointInStroke, method
CanvasRenderingContext2D.prototype.measureText, method
CanvasRenderingContext2D.prototype.putImageData, method
CanvasRenderingContext2D.prototype.stroke, method
CanvasRenderingContext2D.prototype.strokeText, method
CanvasRenderingContext2D.prototype.setLineDash, method
CanvasRenderingContext2D.prototype.getLineDash, method
CanvasRenderingContext2D.prototype.closePath, method
CanvasRenderingContext2D.prototype.moveTo, method
CanvasRenderingContext2D.prototype.lineTo, method
CanvasRenderingContext2D.prototype.quadraticCurveTo, method
CanvasRenderingContext2D.prototype.bezierCurveTo, method
CanvasRenderingContext2D.prototype.arcTo, method
CanvasRenderingContext2D.prototype.rect, method
CanvasRenderingContext2D.prototype.arc, method
CanvasGradient.prototype.addColorStop, method
CanvasPattern.prototype.setTransform, method
Path2D.prototype.addPath, method
CSS.supports, method
FontFace.prototype.load, promise
FontFaceSet.prototype.add, method
FontFaceSet.prototype.delete, method
FontFaceSet.prototype.clear, method
FontFaceSet.prototype.check, method
FontFaceSet.prototype.load, promise
Document.prototype.fonts, property
MediaList.prototype.item, method
MediaList.prototype.appendMedium, method
MediaList.prototype.deleteMedium, method
CSSStyleSheet.prototype.insertRule, method
CSSStyleSheet.prototype.deleteRule, method
StyleSheetList.prototype.item, method
CSSRuleList.prototype.item, method
CSSStyleDeclaration.prototype.item, method
CSSStyleDeclaration.prototype.getPropertyValue, method
CSSStyleDeclaration.prototype.getPropertyPriority, method
CSSStyleDeclaration.prototype.setProperty, method
CSSStyleDeclaration.prototype.removeProperty, method
Document.prototype.styleSheets, property
Document.prototype.selectedStyleSheetSet, property
Document.prototype.lastStyleSheetSet, property
Document.prototype.preferredStyleSheetSet, property
Document.prototype.styleSheetSets, property
Document.prototype.enableStyleSheetsForSet, method
window.getComputedStyle, method
CSS.escape, method
MediaQueryList.prototype.addListener, method
MediaQueryList.prototype.removeListener, method
CaretPosition.prototype.getClientRect, method
window.matchMedia, method
window.moveTo, method
window.moveBy, method
window.resizeTo, method
window.resizeBy, method
window.scroll, method
window.scrollTo, method
window.scrollBy, method
window.screen, property
window.innerWidth, property
window.innerHeight, property
window.scrollX, property
window.pageXOffset, property
